Nom_du_festival,Code_postal_(de_la_commune_principale_de_deroulement),Commune_principale_de_deroulement,Region_principale_de_deroulement,Annee_de_creation_du_festival,Discipline_dominante,Site_internet_du_festival,Latitude,Longitude,Debut,Fin
Jazz En Ouche,61300,L'Aigle,Normandie,2000,Musique,http://www.jazzenouche.com/,48.7561549553,0.611126420423,septembre,décembre
Rock In Opposition,81450,Le Garric,Occitanie,2007,Musique,https://zikoccitanie.fr/festival-rock-in-opposition-mi-septembre/,44.0037171687,2.17389452679,septembre,décembre
Au Bonheur Des Mômes,74450,Le Grand-Bornand,Auvergne-Rhône-Alpes,1992,Spectacle vivant,www.aubonheurdesmomes.com,45.9562174482,6.47641784295,juin,septembre
Les Rutilants,62590,Oignies,Hauts-de-France,2005,Musique,https://9-9bis.com/,50.4644483399,2.99306842451,janvier,juin
Manifeste,75004,Paris,Île-de-France,2012,Musique,http://ircam.fr,48.8567,2.3508,juin,septembre
Le Week-End Des Curiosités,31520,Ramonville-Saint-Agne,Occitanie,2010,Musique,http://www.leweekenddescuriosites.com/,43.5441837911,1.47782372823,janvier,juin
Guitare Accoustic,13300,Salon-De-Provence,Provence-Alpes-Côte d'Azur,2015,Musique,https://www.isabel-sauveur.com/festival-guitare-acoustic,43.6462885238,5.06814649576,juin,septembre
Quartier Libre,37000,Tours,Centre-Val de Loire,2017,Musique,http://www.quartierlibrefestival.com/,47.3986382281,0.696526376417,juin,septembre
Les Nuits Du Sud,6140,Vence,Provence-Alpes-Côte d'Azur,1998,Musique,www.nuitsdusud.com,43.7384640641,7.10194436087,juin,septembre
Les Heures Musicales De Biot,6410,Biot,Provence-Alpes-Côte d'Azur,1984,"Livre, littérature",www.biot.fr,43.6276558141,7.08318612891,janvier,juin
Espace D'Un Été,1000,Bourg-en-Bresse,Auvergne-Rhône-Alpes,1990,Musique,www.mjc-bourg.fr,46.2051520382,5.24602125501,juin,septembre
Celebration Days,60190,Cernoy,Hauts-de-France,2009,Musique,celebrationdays.org,49.4426355659,2.53929202364,juin,septembre
Courzik' Festival,51220,Courcy,Grand Est,2010,Musique,www.courzik.fr,49.3196081983,4.0061261454,janvier,juin
Leym'Fest,1150,Leyment,Auvergne-Rhône-Alpes,2013,Musique,http://www.leguidedesfestivals.com/index.php5?page=festival&festi=31352,45.9269989549,5.2947657235,juin,septembre
Limeil Blues Festival,94450,Limeil-Brévannes,Île-de-France,01/01/2017 00:00,Musique,www.limeil-brevannes.fr/2eme-Limeil-Festival-Blues#.W3Uv-84zYdU,48.7450357782,2.48936184357,septembre,décembre
Livry All Jazz'N Blues,93190,Livry-Gargan,Île-de-France,01/01/2012 00:00,Musique,www.livry-gargan.fr,48.9197633213,2.53486592332,janvier,juin
Salon Lyonnais Du Livre Maçonnique,69005,Lyon,Auvergne-Rhône-Alpes,2009,"Livre, littérature",https://www.salonlyonnaisdulivremaconnique.net/,46.0696133822,4.58011470441,septembre,décembre
Fête Du Jau,49610,Mûrs-Erigné,Pays de la Loire,2014,Musique,http://www.murs-erigne.fr/index.php?id=709,47.3952383531,-0.553551118702,janvier,juin
36H Saint Eustache,75001,Paris,Île-de-France,01/01/2005 00:00,Musique,http://36h-saint-eustache.com,48.8626304852,2.33629344655,juin,septembre
Dévore-Livres,13330,Pélissanne,Provence-Alpes-Côte d'Azur,2004,"Livre, littérature",www.ville-pelissanne.fr,43.6308385635,5.15957327275,janvier,juin
Diades François De Fossa,66000,Perpignan,Occitanie,2017,Musique,https://www.friendsof2fossa.eu/evenementspasses.php,42.6965954131,2.89936953979,juin,septembre
Les Zendimanchés,44680,Saint-Hilaire-de-Chaléons,Pays de la Loire,1998,Spectacle vivant,www.spectacles-en-retz.com,47.0958948849,-1.87983637967,juin,septembre
Estivales De Brou,1000,Bourg-en-Bresse,Auvergne-Rhône-Alpes,1989,Musique,www.estivalesdebrou.net,46.2051520382,5.24602125501,juin,septembre
Histoires De Femmes - Festival De Dreux,28100,Dreux,Centre-Val de Loire,2020,"Cinéma, audiovisuel",https://www.zecrea.fr/festival-de-dreux-2022,48.7485203213,1.35931854112,janvier,juin
Musique En Vacances,13600,La Ciotat,Provence-Alpes-Côte d'Azur,1988,Pluridisciplinaire,www.amei-festival-laciotat.fr,43.1926410861,5.61318955778,juin,septembre
Lisula Cinémusica,20220,L'Île-Rousse,Corse,2018,"Cinéma, audiovisuel",www.cinemusica.fr,42.631545096,8.93355970672,septembre,décembre
Les Chants De Mars,69005,Lyon,Auvergne-Rhône-Alpes,2007,Musique,www.leschantsdemars.com,45.6609705564,4.72076320026,janvier,juin
Festi'Bd,3000,Moulins,Auvergne-Rhône-Alpes,19ème,"Livre, littérature",http://festibd.fr,46.5624641056,3.32662040221,janvier,juin
Festival De Musique Ancienne À Maguelone,34750,Villeneuve-Les-Maguelone,Occitanie,1984,Musique,www.musiqueancienneamaguelone.com,43.5249723481,3.85846205367,janvier,juin
Villes Des Musiques Du Monde,93300,Aubervilliers,Île-de-France,1997,Musique,www.villesdesmusiquesdumonde.com,48.9121722626,2.38445513768,septembre,décembre
Les Nuits Salines,44740,Batz-sur-Mer,Pays de la Loire,1991,Musique,lesnuitssalines.com,47.2844487793,-2.474374647,juin,septembre
Festival Des Hauts De Garonne,33150,Cenon,Nouvelle-Aquitaine,1993,Musique,http://lerocherdepalmer.fr/,44.8548325665,-0.521018807062,juin,septembre
Chamrousse En Piste,38410,Chamrousse,Auvergne-Rhône-Alpes,2008,Spectacle vivant,https://www.chamrousse.com/festival-chamrousse-en-piste-office-du-tourisme-de-chamrousse-215248.html,45.1197427134,5.89438297795,juin,septembre
Le Festivolt,1210,Ferney-Voltaire,Auvergne-Rhône-Alpes,2018,Musique,www.voltairesattic.com,46.2519789243,6.10826403805,janvier,juin
Foix'R De Rue,9000,Foix,Occitanie,2013,Pluridisciplinaire,http://foixrderue.com/,42.9658502274,1.61037495894,juin,septembre
Moissons Rock,51150,Juvigny,Grand Est,01/01/1995 00:00,Musique,www.moissonsrock.org,49.0158806281,4.27525107126,janvier,juin
Biennale Des Écritures Du Réel,13006,Marseille,Provence-Alpes-Côte d'Azur,2012,Spectacle vivant,www.theatrelacite.com,43.296346,5.369889,janvier,juin
Caravansérail,13007,Marseille,Provence-Alpes-Côte d'Azur,2017,Musique,www.festival-caravanserail.com,43.296346,5.369889,janvier,juin
Marsatac,13008,Marseille,Provence-Alpes-Côte d'Azur,1999,Musique,http://marsatac.com,43.296346,5.369889,juin,septembre
Festicolor,45130,Meung-sur-Loire,Centre-Val de Loire,2002,Musique,www.festicolor.com,47.8397230739,1.69811579508,janvier,juin
Celt En Oc,9700,Montaut,Occitanie,2014,Musique,https://festivalceltenoc.wixsite.com/festivalceltenoc,43.186244822,1.65640135229,janvier,juin
Solidays,75016,Paris,Île-de-France,1999,Musique,solidays.org,48.8567,2.3508,juin,septembre
Les Noces Félines,51100,Reims,Grand Est,2012,Musique,velours-prod.com,49.2514906066,4.0402302322,septembre,décembre
Roubaix À L'Accordéon,59100,Roubaix,Hauts-de-France,1997,Musique,https://roubaixalaccordeon.fr/,50.6879774811,3.18258434623,septembre,décembre
Ardèche Aluna Festival,7120,Ruoms,Auvergne-Rhône-Alpes,2008,Musique,www.aluna-festival.fr,44.4479030757,4.34786189328,juin,septembre
Musiques Et Terrasses,55100,Verdun,Grand Est,1994,Musique,http://www.contrecourantmjc.fr/festivals/musiques-terrasses/le-festival/,49.1454831903,5.36141821261,janvier,juin
Fémin'Arte,6600,Antibes,Provence-Alpes-Côte d'Azur,1997,Spectacle vivant,www.theatre-tribunal.fr,43.587465146,7.10635418256,janvier,juin
Les Ain'Pertinentes,1000,Bourg-en-Bresse,Auvergne-Rhône-Alpes,2009,"Arts visuels, arts numériques",www.lesainpertinentes.fr,46.2051520382,5.24602125501,juin,septembre
Festival Des Randonnées Musicales Du Ferrand,38142,Clavans-en-haut-oisans,Auvergne-Rhône-Alpes,1999,Musique,"https://www.isere-tourisme.com/fetes-et-manifestations/festival-des-randonnees-musicales#:~:text=Sp%C3%A9cial%20COVID%2D19&text=Accueil%20dans%20le%20respect%20des,%2C%20conf%C3%A9rences%2C%20expositions%2C%20ateliers.",45.1175117933,6.16207850111,juin,septembre
Wazemmes L'Accordéon,59000,Lille,Hauts-de-France,1999,Musique,www.flonflons.eu,50.6317183168,3.04783272312,janvier,juin
Festival De La Paille,25370,Métabief,Bourgogne-Franche-Comté,2000,Musique,https://www.festivalpaille.fr/,46.7648830862,6.35324497812,juin,septembre
Festival De La Chanson Francaise De Montluçon,3100,Montluçon,Auvergne-Rhône-Alpes,2006,Musique,https://www.chabriole.fr/,46.3201872756,2.95237432039,juin,septembre
Nice Jazz Festival,6300,Nice,Provence-Alpes-Côte d'Azur,1948,Musique,www.nicejazzfestival.fr,43.7119992661,7.23826889465,juin,septembre
"Formula Bula, Bande Dessinée Et Plus Si Affinités",75010,Paris,Île-de-France,2009,"Livre, littérature",formulabula.fr,48.8760285569,2.36111290456,septembre,décembre
Lac & Songs,5230,Prunières,Provence-Alpes-Côte d'Azur,2017,Musique,http://www.helealea.com,44.5433412641,6.33640431241,juin,septembre
Festival Chants D'Elles,76000,Rouen,Normandie,2000,Musique,https://www.festivalchantsdelles.org/,49.4413460103,1.09256784278,septembre,décembre
Changez D’Air,69290,Saint-Genis-les-Ollières,Auvergne-Rhône-Alpes,2001,Musique,http://www.mairie-stgenislesollieres.fr/fr/information/53021/changez-air,45.7610551042,4.72602177608,janvier,juin
Soft'R Festival,12800,Sauveterre-De-Rouergue,Occitanie,2009,Musique,https://www.softr2rootsergue.com/soft-r-festival-11/,44.2478234048,2.31504773118,janvier,juin
Du Bleu En Hiver Jazz(S) En Tête,19000,Tulle,Nouvelle-Aquitaine,2006,Musique,http://dubleuenhiver.fr/,45.2731516999,1.76313875655,janvier,juin
Festiv'Arcandiers,18260,Vailly-sur-Sauldre,Centre-Val de Loire,2005,Musique,https://festival-arcandiers.pagesperso-orange.fr/,47.4563676608,2.65132659906,juin,septembre
Les Emancipéés,56000,Vannes,Bretagne,2017,Musique,www.lesemancipees.bzh,47.6597493766,-2.75714329498,janvier,juin
Musiques Vivantes,3200,Vichy,Auvergne-Rhône-Alpes,1984,Musique,https://www.musiquesvivantes.com/,46.1300051383,3.42442081174,juin,septembre
Poulpahone,62200,Boulogne-sur-Mer,Hauts-de-France,2005,Musique,https://www.poulpaphone.com/,50.7271332663,1.60756334802,septembre,décembre
Maison Des Arts En Balade,13480,Cabriès,Provence-Alpes-Côte d'Azur,2021,Spectacle vivant,lefunnumusical.com,43.4496421919,5.34976663984,juin,septembre
Corbeil-Essonnes Jazz Festival,91100,Corbeil-Essonnes,Île-de-France,01/01/2000 00:00,Musique,www.corbeilessonnesjazzfestival.com,48.6034809251,2.46934079002,juin,septembre
Jazz Aux Capucins,77120,Coulommiers,Île-de-France,01/01/2006 00:00,Musique,www.coulommiers.fr,48.8122991656,3.09124381847,juin,septembre
Rencontres Cinéma Nature,3290,Dompierre-sur-Besbre,Auvergne-Rhône-Alpes,1989,"Cinéma, audiovisuel",https://www.rencontres-cinema-nature.eu/,46.5305895294,3.67644076991,janvier,juin
Jazz Au Ranquet,13800,Istres,Provence-Alpes-Côte d'Azur,2016,Musique,www.istres-tourisme.com,43.5502689105,4.9511813524,juin,septembre
Autour De Brassens,5120,L'Argentière-La Bessée,Provence-Alpes-Côte d'Azur,2007,Musique,www.autour-de-brassens.com,44.7821732712,6.47214497323,juin,septembre
Le Festival Des Pavés,69007,Lyon,Auvergne-Rhône-Alpes,2014,Musique,http://www.artis-mbc.fr/,46.06919296,4.31204805595,juin,septembre
Toumélé,91300,Maule,Île-de-France,01/01/2002 00:00,Pluridisciplinaire,www.toumele.org,48.7277896426,2.27513131903,janvier,juin
Wine Nat / White Heat,44000,Nantes,Pays de la Loire,2015,Musique,https://www.stereolux.org/blog/festival-wine-nat-white-heat-un-groupe-un-vin,47.2316356767,-1.54831008605,janvier,juin
Festival Des Cultures Juives,75005,Paris,Île-de-France,2005,Musique,www.festivaldesculturesjuives.org,48.8445086596,2.34985938556,juin,septembre
L'Art Chemin Faisant,56620,Pont-Scorff,Bretagne,1998,"Arts visuels, arts numériques",www.pont-scorff.fr,47.839096749,-3.41967999137,juin,septembre
Rencontres Cinéma Femmes-Comédiennes,6251,Puget-Théniers,Provence-Alpes-Côte d'Azur,1993,"Cinéma, audiovisuel",0,43.9521649219,6.90609311435,septembre,décembre
Sem Le Blues,66240,Saint-Esteve,Occitanie,2016,Musique,www.rdvse.fr,42.7151122221,2.84611914185,septembre,décembre
Entente Nocturne,94400,Vitry-sur-Seine,Île-de-France,01/01/2018 00:00,Musique,http://lekilowatt.fr/agenda/entente-nocturne/,48.7882828307,2.39412680533,septembre,décembre
Gamerz,13090,Aix-en-Provence,Provence-Alpes-Côte d'Azur,2006,"Arts visuels, arts numériques",http://www.lab-gamerz.com/site/,43.5360708378,5.39857444582,septembre,décembre
Corsiclassic - Festival De Musique De Chambre,20000,Ajaccio,Corse,2016,Musique,helloasso.com/associations/corsiclassic,41.9347926638,8.70132275974,septembre,décembre
Racines De Ciel,20000,Ajaccio,Corse,2009,"Livre, littérature",https://www.facebook.com/RacinesDeCielAjaccio/,41.9347926638,8.70132275974,janvier,juin
Le Grand Bivouac,73200,Albertville,Auvergne-Rhône-Alpes,2002,"Cinéma, audiovisuel",https://www.grandbivouac.com/fr,45.6683987277,6.40460338643,septembre,décembre
Septembre Musical De L'Orne,61000,Alençon,Normandie,1983,Musique,www.septembre-musical.com,48.4318193082,0.0915406916107,juin,septembre
Les Atypiques,30100,Alès,Occitanie,1998,Spectacle vivant,https://atpales.fr/,44.1250099126,4.08828501262,septembre,décembre
Brass Band,37400,Amboise,Centre-Val de Loire,1996,Musique,https://openamboise.com/,47.3917237652,1.00023994675,janvier,juin
Blues Berry,36120,Ambrault,Centre-Val de Loire,2014,Musique,http://associationbluesberry.weebly.com/,46.7837338524,1.94971417939,juin,septembre
Festival International Du Film D'Amiens,80000,Amiens,Hauts-de-France,1980,"Cinéma, audiovisuel",https://www.fifam.fr/,49.9009532186,2.29007445539,septembre,décembre
Festival De La Céramique,30140,Anduze,Occitanie,2004,"Arts visuels, arts numériques",https://www.festival-ceramique-anduze.org/,44.0507893674,3.97484165309,juin,septembre
Jazzcontreband,74000,Annecy,Auvergne-Rhône-Alpes,1997,Musique,www.jazzcontreband.com,45.8906432566,6.12551773598,septembre,décembre
Lac In Blue,74000,Annecy,Auvergne-Rhône-Alpes,2015,Musique,www.lac-in-blue.com,45.8906432566,6.12551773598,janvier,juin
Festival International D'Orgue D'Arbois,39600,Arbois,Bourgogne-Franche-Comté,2000,Musique,www.orgueetmusiques.wix.com/arbois,46.8941749828,5.77318253275,juin,septembre
Livrévasion,43700,Arsac-en-Velay,Auvergne-Rhône-Alpes,1998,"Livre, littérature",https://www.livrevasion.fr/,44.9936614826,3.95457009632,janvier,juin
Semaine Des Cultures,19190,Aubazines,Nouvelle-Aquitaine,2016,"Arts visuels, arts numériques",https://www.vallee-dordogne.com/offres/semaine-des-cultures-a-aubazine-territoire-de-creation-aubazines-fr-1687653,45.1857945286,1.68640722366,juin,septembre
Clavier En Pays D'Auch,32000,Auch,Occitanie,1999,Musique,https://www.auch-tourisme.com/agenda/festival-claviers-en-pays-dauch/,43.6534300414,0.575190250459,juin,septembre
Bloody Week-End,25400,Audincourt,Bourgogne-Franche-Comté,2010,"Cinéma, audiovisuel",www.bloodyweekend.fr,47.4811676376,6.85493983157,janvier,juin
Fête De La Bd D'Audincourt,25400,Audincourt,Bourgogne-Franche-Comté,1985,"Livre, littérature",https://fetedelabd.audincourt.fr,47.4811676376,6.85493983157,septembre,décembre
"Chemins Des Arts, Festival De Danse En Milieu Rural",58700,Authiou,Bourgogne-Franche-Comté,2005,Spectacle vivant,www.festivalcheminsdesarts.com,47.2653242927,3.41891982538,juin,septembre
Andalou,84000,Avignon,Provence-Alpes-Côte d'Azur,2001,Musique,https://lefestivalandalou.com,43.9352448339,4.84071572505,janvier,juin
Les Puces Typo,93170,Bagnolet,Île-de-France,2010,"Arts visuels, arts numériques",https://www.campusfonderiedelimage.org/,48.8690836308,2.42274096688,janvier,juin
Jazzabar,10200,Bar-sur-Aube,Grand Est,2009,Musique,www.jazzabar.com,48.2339751025,4.71595700167,septembre,décembre
Pilot De Boi (Nuits Gasconnes),33430,Bazas,Nouvelle-Aquitaine,2015,Pluridisciplinaire,/,44.4424533682,-0.212326795621,juin,septembre
Le Solstice,37600,Beaulieu-lès-Loches,Centre-Val de Loire,1986,Musique,www.festival-solstice.com,47.1281892877,1.02294110179,juin,septembre
Festival International D'Opéra Baroque & Romantique De Beaune,21200,Beaune,Bourgogne-Franche-Comté,1982,Musique,festivalbeaune.com,47.0255189366,4.83767985985,juin,septembre
Amorissimo,60000,Beauvais,Hauts-de-France,2016,"Livre, littérature",mediatheques.beauvaisis.fr,49.4365523321,2.08616123661,janvier,juin
Photaumnales Et Usimages,60000,Beauvais,Hauts-de-France,2004,"Arts visuels, arts numériques",PHOTAUMNALES .FR,49.4365523321,2.08616123661,septembre,décembre
Ô Jardins Pestaculaires,35190,Bécherel,Bretagne,2010,Spectacle vivant,www.regardsdemomes.fr,48.2965087434,-1.9428236566,juin,septembre
Lyrique En Mer,56360,Belle-Ile-en-Mer,Bretagne,1998,Musique,https://lyrique-belle-ile.com/,47.3426909682,-3.17102952046,juin,septembre
Festival De Musique Besançon Franche Comté,25000,Besançon,Bourgogne-Franche-Comté,1948,Musique,https://festival-besancon.com,47.2553872249,6.01948696494,septembre,décembre
Échappée Belle,33290,Blanquefort,Nouvelle-Aquitaine,1992,Spectacle vivant,http://www.carrecolonnes.fr/index.htm,44.9231492741,-0.612268950301,janvier,juin
Nouvelles Du Conte,26460,Bourdeaux,Auvergne-Rhône-Alpes,1989,"Livre, littérature",www.nouvellesduconte.org,44.5787747922,5.15114352176,juin,septembre
L'Automne Baroque De Bourges,18000,Bourges,Centre-Val de Loire,2019,Musique,automne-baroque-bourges.fr,47.0749572013,2.40417137557,septembre,décembre
Les Très Riches Heures De L'Orgue En Berry,18000,Bourges,Centre-Val de Loire,1986,Musique,www.grandorguebourges.org,47.0749572013,2.40417137557,juin,septembre
Festival D'Impro De La Libido,29200,Brest,Bretagne,2004,Spectacle vivant,http://www.libido-brest.com/,48.4004997828,-4.5027907853,janvier,juin
Festival Intergalactique De L'Image Alternative,29200,Brest,Bretagne,2004,"Cinéma, audiovisuel",canaltizef.infini.fr,48.4004997828,-4.5027907853,septembre,décembre
Les Petites Rêveries,58420,Brinon-sur-Beuvron,Bourgogne-Franche-Comté,2003,Spectacle vivant,www.lespetitesreveries.com,47.2843863072,3.49020583859,janvier,juin
Festival De Théâtre De L'Arc Mosellan,57920,Buding,Grand Est,2007,Spectacle vivant,http://www.theatredenihilonihil.com/theatredenihilonihil.com/La_compagnie_%21.html,49.3283000639,6.323728807,janvier,juin
Court C'Est Court,84220,Cabrières d'Avignon,Provence-Alpes-Côte d'Azur,1993,"Cinéma, audiovisuel",http://cinambule.org/,43.8965322686,5.15279801626,septembre,décembre
Ndk Festival,14000,Caen,Normandie,2010,Musique,www.ndkfestival.com,49.1847936737,-0.369801713036,septembre,décembre
International Webserie Fest Of Calais,62100,Calais,Hauts-de-France,2017,"Cinéma, audiovisuel",http://www.iwfc.fr,50.9502072754,1.87575566132,septembre,décembre
De Jam En Jazz,22160,Callac,Bretagne,2019,Musique,https://m.facebook.com/dejamenjazz.festival,48.4223048141,-3.41625904984,juin,septembre
Musique En Kercorb,11230,Chalabre,Occitanie,2012,Musique,http://chalabre24hactus.blogspirit.com/tag/musique+en+kercorb+2021,42.9817651679,2.01049024009,juin,septembre
Chartres - Croisement Des Arts,28000,Chartres,Centre-Val de Loire,2013,"Arts visuels, arts numériques",chartres-croisementdesarts.jimdofree.com,48.4471464884,1.50570610616,janvier,juin
Les Lisztomanias,36000,Châteauroux,Centre-Val de Loire,2002,Musique,www.lisztomanias.fr,46.8029617828,1.69399812001,septembre,décembre
Les Mardis Au Verger,86000,Châtellerault,Nouvelle-Aquitaine,2004,Spectacle vivant,http://www.contescausette.fr/,46.8156700185,0.552598976936,juin,septembre
Festival Träce,92370,Chaville,Île-de-France,01/01/2001 00:00,Musique,festivaltrace.com,48.8076083562,2.19234061062,janvier,juin
Les Art'Zimutés,50100,Cherbourg-en-Cotentin,Normandie,1999,Musique,www.lesartzimutes.com,49.633412156,-1.63390160204,juin,septembre
Festival Du Court-Métrage De Clermont-Ferrand,63000,Clermont-Ferrand,Auvergne-Rhône-Alpes,1979,"Cinéma, audiovisuel",clermont-filmfest.org,45.7856492991,3.11554542903,janvier,juin
Le Rendez-Vous Du Carnet De Voyage,63000,Clermont-Ferrand,Auvergne-Rhône-Alpes,1999,"Livre, littérature",rendezvous-carnetdevoyage.com,45.7856492991,3.11554542903,septembre,décembre
Traces De Danse,63000,Clermont-Ferrand,Auvergne-Rhône-Alpes,2017,Spectacle vivant,https://www.mc2grenoble.fr/spectacle/traces/,45.7856492991,3.11554542903,janvier,juin
Ambiosonic,83610,Collobrières,Provence-Alpes-Côte d'Azur,2007,Musique,http://ambiosonic.org,43.2414148175,6.34032184648,juin,septembre
Festival De Musique Sacrée De Coutances,50200,Coutances,Normandie,2014,Musique,http://cathedralecoutances.free.fr/VieAssociation.htm,49.0566189539,-1.44345003609,juin,septembre
Chapitoscope,33670,Créon,Nouvelle-Aquitaine,2011,Spectacle vivant,www.festivalchapitoscope.com/,44.770425384,-0.343606134456,janvier,juin
Festival L'Appel Du Large,14800,Deauville,Normandie,2021,"Arts visuels, arts numériques",https://www.indeauville.fr/lappel-du-large,49.3543800887,0.0744665786308,juin,septembre
Fête Des Remparts,22100,Dinan,Bretagne,1983,Spectacle vivant,www.fete-remparts-dinan.com,48.4557709953,-2.04816149693,juin,septembre
Festival De Cinéma De Douarnenez,29100,Douarnenez,Bretagne,1978,"Cinéma, audiovisuel",https://www.festival-douarnenez.com/fr/,48.0806526556,-4.32784220122,juin,septembre
Festival Ecretteville-Les-Baons,76190,Ecretteville-les-Baons,Normandie,2011,Musique,https://lestroubadoursalarue.fr/,49.6297955951,0.67254078576,septembre,décembre
Festival Gauargi,64250,Espelette,Nouvelle-Aquitaine,1998,Spectacle vivant,http://www.gauargi.fr/wordpress/,43.3235532289,-1.45240885976,juin,septembre
Rock The Sheep,33220,Eynesse,Nouvelle-Aquitaine,2007,Musique,http://rockthesheep.fr/,44.819717778,0.14910058165,juin,septembre
Les Oreilles En Pointe,42700,Firminy,Auvergne-Rhône-Alpes,1990,Musique,www.oreillesenpointe.com,45.3788146093,4.28879456136,septembre,décembre
Forum Des Arts Numériques,97200,Fort-de-France,Martinique,2005,"Arts visuels, arts numériques",https/omdac.com,14.6411114389,-61.0691889244,janvier,juin
Festival De La Marionnette Et Des Formes Animées,30300,Fourques,Occitanie,1985,Spectacle vivant,https://www.laregion.fr/22e-FESTIVAL-INTERNATIONAL-DE-MARIONNETTE-ET-FORMES-ANIMEES,43.7116543785,4.54884323842,septembre,décembre
Les Scènes En Liberté,83600,Fréjus,Provence-Alpes-Côte d'Azur,2018,Spectacle vivant,www.lesesterelles.com,43.4719558114,6.76361597424,juin,septembre
Festival D'Humour Holtzi,67118,Geispolsheim,Grand Est,2005,Spectacle vivant,www.festivalholtzi.fr,48.5143463092,7.65806561244,janvier,juin
Festival Flamenco En Loire,49350,Gennes-Val-de-Loire,Pays de la Loire,2017,Musique,www.flamencoenloire.fr,47.374115152,-0.222562814963,juin,septembre
Traversées Sonores,50400,Granville,Normandie,2016,Musique,https://www.facebook.com/traverseessonores/,48.8327078372,-1.56670866413,juin,septembre
Bidasoa Folk,64700,Hendaye,Nouvelle-Aquitaine,2001,Musique,http://www.irunhondarribiahendaye.com/bidasoafolk,43.3656373687,-1.76396662,juin,septembre
Festival Solo En Scène,64700,Hendaye,Nouvelle-Aquitaine,2015,Spectacle vivant,www.hendaye-culture.fr/fr/festival/solo-en-scene/,43.3656373687,-1.76396662,janvier,juin
Festival Ecritures Partagées,14200,Hérouville-Saint-Clair,Normandie,2015,Pluridisciplinaire,https://www.comediedecaen.com/autre-comedie/festival/festival-ecritures-partagees,49.2073560619,-0.331022626025,janvier,juin
Festival Du Cinéma Russe À Honfleur,14600,Honfleur,Normandie,1995,"Cinéma, audiovisuel",www.festival-honfleur.fr,49.4129449727,0.237579361279,septembre,décembre
Festival Grandes Marées,50610,Jullouville,Normandie,2009,Musique,https://www.festivalgrandesmarees.com/,48.7634529301,-1.52729216893,juin,septembre
Momix,68250,Kingersheim,Grand Est,1992,Spectacle vivant,www.momix.org,47.7889765168,7.32299335222,janvier,juin
Salon Du Livre De La Baume-Cornillane,26120,La Baume-Cornillane,Auvergne-Rhône-Alpes,2014,"Livre, littérature",https://auvergnerhonealpes-livre-lecture.org/annuaires/manifestations/2070,44.8296348413,5.04790034542,septembre,décembre
Le Pertuis (Re)Fait Encore Son Cirque,17000,La Rochelle,Nouvelle-Aquitaine,2015,Spectacle vivant,http://le-pertuis.fr/,46.1620643972,-1.17465702836,juin,septembre
Les Francofolies,17000,La Rochelle,Nouvelle-Aquitaine,1985,Musique,http://www.francofolies.fr/,46.1620643972,-1.17465702836,juin,septembre
Festival International Du Film De La Roche-Sur-Yon,85000,La Roche-sur-Yon,Pays de la Loire,2010,"Cinéma, audiovisuel",www.fif-85.com,46.6675261644,-1.4077954093,septembre,décembre
Jazz Au Jardin,83160,La Valette-du-Var,Provence-Alpes-Côte d'Azur,2010,Musique,www.lavalette83.fr,43.1499152044,5.99222538877,juin,septembre
Banquet Du Livre D'Été,11220,Lagrasse,Occitanie,1995,"Livre, littérature","https://www.aude.fr/actualites/le-banquet-du-livre-dete-fait-son-retour-labbaye-de-lagrasse#:~:text=Le%20Banquet%20du%20livre%20d'%C3%A9t%C3%A9%20est%20de%20retour%20jusqu,Toute%20lecture%20est%20un%20parcours%22.&text=Le%20Banquet%20du%20livre%20d'%C3%A9t%C3%A9%20est%20de%20retour%20du,%C3%A0%20l'abbaye%20de%20Lagrasse.",43.0957230349,2.60436046295,juin,septembre
Festival Du Film D'Éducation,97129,Lamentin,Guadeloupe,2012,"Cinéma, audiovisuel",https://yakamedia.cemea.asso.fr/,14.6247600105,-60.9933549815,janvier,juin
Doc-Cévennes / Festival International Du Documentaire De Lasalle-En-Cévennes,30460,Lasalle,Occitanie,2020,"Cinéma, audiovisuel",doc-cevennes.org,44.0428979358,3.85182045128,janvier,juin
Festival Les Impro'Bables,86390,Lathus-Saint-Rémy,Nouvelle-Aquitaine,2016,Spectacle vivant,http://www.cpa-lathus.asso.fr,46.3208334605,0.944330571873,janvier,juin
Festival Musique En Périgord,24260,Le Bugue,Nouvelle-Aquitaine,1989,Musique,http://musiqueenperigord.fr/fr/,44.9264427991,0.924662888033,juin,septembre
Musique En Dévoluy,5250,Le Dévoluy,Provence-Alpes-Côte d'Azur,1985,Musique,www.musiqueendevoluy.com,44.6775419763,5.94047368781,juin,septembre
Festival Polar À La Plage,76600,Le Havre,Normandie,2001,"Livre, littérature",https://www.lehavre.fr/actualites/14e-edition-du-festival-polar-la-plage,49.498452502,0.140153719153,janvier,juin
Festival Du Monastier,43150,Le Monastier-sur-Gazeille,Auvergne-Rhône-Alpes,1989,Musique,www.festivaldumonastier.fr,44.9345419113,4.00710354299,juin,septembre
Les Nuits Blanches,83340,Le Thoronet,Provence-Alpes-Côte d'Azur,2001,Musique,lesnuitsblanches.org,43.458933028,6.28265623456,juin,septembre
Lectoure À Voix Haute,32700,Lectoure,Occitanie,2015,"Livre, littérature",lectoure-voixhaute.fr,43.9405030561,0.650762392132,juin,septembre
